  0 [ 11 @( 1, 0) z   5
  0 [ 13 @( 0, 0) z  15
  0 [ 22 @( 0, 2) z  10
  5 ) 11 @( 1, 0)
  5 [ 11 @( 1, 1) z  20
 10 ) 22 @( 0, 2)
 10 [ 22 @( 1, 2) z  10
 15 ) 13 @( 0, 0)
 15 [ 13 @( 1, 1) z  10
 20 ) 22 @( 1, 2)
 20 [ 22 @( 2, 2) z  10
 25 ) 11 @( 1, 1)
 25 [ 11 @( 1, 2) z  10
 25 ) 13 @( 1, 1)
 30 [ 13 @( 2, 2) z  15
 30 ) 22 @( 2, 2)
 30 [ 22 @( 3, 2) z  10
 35 ) 11 @( 1, 2)
 35 [ 11 @( 1, 3) z  15
 40 ) 22 @( 3, 2)
 45 ) 13 @( 2, 2)
 45 [ 13 @( 3, 3) z  10
 50 ) 11 @( 1, 3)
 55 ) 13 @( 3, 3)
